id    Code   S3   S2    S1 S1.1 S2.1 S3.1 Weight.class
1   CFragm 55.0 35.0  15.0   NA   NA   NA           NA
2  SoilDpt 50.0 75.0 100.0   NA   NA   NA           NA
3    CaCO3 10.0  5.0   1.0   NA   NA   NA           NA
4     Gyps  3.0  2.0   0.5   NA   NA   NA           NA
5     CECc 16.0 16.0  16.0   NA   NA   NA           NA
6       BS 19.9 20.0  35.0   NA   NA   NA           NA
7   SumBCs  1.6  2.8   4.0   NA   NA   NA           NA
8    pHH2O  5.0  5.5   6.0    7  7.6  8.2           NA
9       OC  0.7  0.8   1.5   NA   NA   NA           NA
10   ECedS  2.2  1.8   1.1   NA   NA   NA           NA
